"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 15 12:02:15 MSK 2019","Thu Aug 15 12:02:15 MSK 2019","484","","","","","","Новые : Документ.АвансовыйОтчет.Форма.ФормаДокумента","ТестДолжен_ОткрытьФормуНовогоДокумента"
"passed","Thu Aug 15 12:00:44 MSK 2019","Thu Aug 15 12:00:44 MSK 2019","219","","","","","","Списки : Справочник.Меркурий_Пользователи.Форма.ФормаСписка","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:02:24 MSK 2019","Thu Aug 15 12:02:25 MSK 2019","603","","","","","","Новые : Документ.ВозвратТоваровПоставщику.Форма.ФормаДокумента","ТестДолжен_ОткрытьФормуНовогоДокумента"
"passed","Thu Aug 15 12:09:50 MSK 2019","Thu Aug 15 12:09:50 MSK 2019","4","","","","","","РегистрСведений.ПутиКПрограммамЭлектроннойПодписиИШифрованияНаСерверахLinux: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:00:37 MSK 2019","Thu Aug 15 12:00:37 MSK 2019","125","","","","","","Существующие : Справочник.МаркетинговыеАкции.Форма.ФормаГруппы","ТестДолжен_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu Aug 15 12:03:43 MSK 2019","Thu Aug 15 12:03:43 MSK 2019","357","","","","","","Обработка.ГрупповаяОбработкаТоваров.Форма.Форма","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:00:18 MSK 2019","Thu Aug 15 12:00:18 MSK 2019","156","","","","","","Существующие : Справочник.ЕГАИС_Номенклатура.Форма.ФормаЭлемента","ТестДолжен_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu Aug 15 12:08:47 MSK 2019","Thu Aug 15 12:08:47 MSK 2019","9","","","","","","РегистрСведений.Меркурий_ЗапросыВСДЗаПериод: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:08:24 MSK 2019","Thu Aug 15 12:08:24 MSK 2019","3","","","","","","Константа.УчитыватьТару: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:07:15 MSK 2019","Thu Aug 15 12:07:15 MSK 2019","4","","","","","","Константа.СписокРасширенийФайловOpenDocumentОбластиДанных: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
